,date,Q  (m3/s),T (C)
245,2021-06-03,11.698329517425018,6.1773148148148165
246,2021-06-04,14.391933967499224,6.403395061728397
247,2021-06-05,14.942138066954223,6.4288194444444455
248,2021-06-06,14.275885088623633,6.794483024691359
249,2021-06-07,12.811277130556881,6.775385802469135
250,2021-06-08,10.369068936973854,6.846527777777782
251,2021-06-09,8.585749918154006,6.977623456790123
252,2021-06-10,7.45011032301752,6.967554012345677
253,2021-06-11,6.744956272099046,7.354938271604938
254,2021-06-12,6.348554811578683,7.6489583333333355
255,2021-06-13,6.082705321793363,8.050038580246913
256,2021-06-14,5.729844355700767,8.282947530864199
257,2021-06-15,5.338135671483213,8.79375
258,2021-06-16,5.2323943048052595,9.25100308641975
259,2021-06-17,4.971475922350567,9.37083333333333
260,2021-06-18,4.5268567039879795,9.450077160493827
261,2021-06-19,3.9015993811916214,8.824498456790119
262,2021-06-20,3.175457145216441,9.090779320987659
263,2021-06-21,2.855039604801502,9.492669753086414
264,2021-06-22,2.5217524162817155,9.695524691358015
265,2021-06-23,2.062067537590048,9.204938271604934
266,2021-06-24,2.7310913540916806,9.007677469135798
267,2021-06-25,2.733662288665184,8.427353395061731
268,2021-06-26,1.941480712513309,8.733912037037037
269,2021-06-27,1.6488737500605732,9.105864197530867
270,2021-06-28,1.5385122209861857,8.867978395061732
271,2021-06-29,1.453052215798908,9.85115740740741
272,2021-06-30,1.5351391919103987,10.425231481481479
273,2021-07-01,1.4757977745631992,11.369405864197528
274,2021-07-02,1.3356782191098595,11.679706790123454
275,2021-07-03,1.2377495895231103,12.135455246913578
276,2021-07-04,1.1433167360715026,12.586689814814818
277,2021-07-05,1.1190161247516197,12.404359567901235
278,2021-07-06,1.1504461387877114,12.637114197530858
279,2021-07-07,0.9590617646376286,13.228819444444444
280,2021-07-08,0.8516958448971805,13.269058641975315
281,2021-07-09,0.8012392470828309,13.804398148148147
282,2021-07-10,0.7210015423658398,13.588078703703706
283,2021-07-11,0.6539856294530777,12.90320216049382
284,2021-07-12,0.5954728621383893,13.020756172839505
285,2021-07-13,0.6136257488765373,13.008024691358022
286,2021-07-14,0.9548554831190503,11.36111111111111
287,2021-07-15,0.7817127697471908,12.020138888888885
288,2021-07-16,0.6487161855815304,12.80652006172839
289,2021-07-17,0.5985378585075645,12.93086419753086
290,2021-07-18,0.5593470897112618,13.923495370370368
291,2021-07-19,0.5187410756643849,14.441898148148153
292,2021-07-20,0.5610401328721095,14.406404320987654
293,2021-07-21,0.6556118134319697,15.156674382716043
294,2021-07-22,0.5512272390440207,14.88395061728396
295,2021-07-23,0.5389631584683648,14.71585648148148
296,2021-07-24,0.5032867077818678,14.16846064814815
297,2021-07-25,0.49961145040725796,13.477777777777789
298,2021-07-26,0.5674564180704891,13.986496913580252
299,2021-07-27,0.5183754977513082,14.570370370370373
300,2021-07-28,0.5256388750016908,14.366512345679016
301,2021-07-29,0.5348650165465139,14.844907407407407
302,2021-07-30,0.6735305154839293,14.932716049382716
303,2021-07-31,0.8531548282102964,13.951080246913584
304,2021-08-01,0.9885709710926781,13.27291666666667
305,2021-08-02,0.935997817475953,13.402430555555561
306,2021-08-03,0.9088424849741153,12.808101851851847
307,2021-08-04,0.8017584209228635,13.247608024691354
308,2021-08-05,0.6849733458158894,13.199961419753087
309,2021-08-06,0.6146732588419852,12.992052469135793
310,2021-08-07,0.5559949389667991,12.729976851851843
311,2021-08-08,0.5189394217534828,12.685030864197529
312,2021-08-09,0.480817007512019,12.944521604938268
313,2021-08-10,0.4434074829641446,12.967554012345675
314,2021-08-11,0.4128663619788411,13.263734567901226
315,2021-08-12,0.39270773877214205,13.462808641975313
316,2021-08-13,0.3800237675713584,14.026388888888892
317,2021-08-14,0.36237366626620987,13.954436728395072
318,2021-08-15,0.3458851928948239,14.198495370370372
319,2021-08-16,0.34419285124558596,13.4414737654321
320,2021-08-17,0.32822506300723764,13.44795524691358
321,2021-08-18,0.3175094425825307,13.161574074074077
322,2021-08-19,0.5158585055106465,12.355941358024689
323,2021-08-20,0.7372957735078879,11.582523148148145
324,2021-08-21,0.542656221451262,11.393865740740736
325,2021-08-22,0.46743625110302667,12.707677469135795
326,2021-08-23,0.4282787514118972,12.787731481481478
327,2021-08-24,0.39208672573014314,12.796141975308638
328,2021-08-25,0.36721259804379675,12.456172839506172
329,2021-08-26,0.3609353717359841,11.158487654320972
330,2021-08-27,0.3684719244704606,12.731520061728391
331,2021-08-28,0.33418728807644027,12.807407407407409
332,2021-08-29,0.3125785108688786,12.762114197530865
333,2021-08-30,0.30239644461502646,12.551041666666663
334,2021-08-31,0.2959916864384797,12.487615740740743
335,2021-09-01,0.3036283792259516,12.384567901234554
336,2021-09-02,0.4135278408335393,12.885108024691359
337,2021-09-03,0.3875672748325791,12.812731481481482
338,2021-09-04,0.35498136345351256,12.132986111111107
339,2021-09-05,0.32904376571382926,12.085493827160489
